Kabupaten/Kota;Indeks Kualitas Jalan;Kepadatan Penduduk;Tingkat Kemiskinan;Jumlah Kendaraan Bermotor;Jumlah Penduduk;Indeks Pembangunan Manusia (IPM);Luas Wilayah (km²)
Buton;235.84;72;13.46;8320;122.03;65.08;1212.99
Muna;640.53;121;14.85;18876;227.98;68.47;1922.16
Konawe;434.27;50;15.65;23811;274.07;70.72;4435.28
Kolaka;459.18;83;13.78;31881;248.76;72.07;3283.59
Konawe Selatan;601.61;76;11.14;18567;329.21;67.51;5779.47
Bombana;637.57;48;12.36;9692;160.65;65.04;3001
Wakatobi;252.21;259;16.19;6331;118.26;68.52;559.54
Kolaka Utara;268.57;50;16.24;5358;148.5;68.44;3391.67
Buton Utara;356.52;39;15.58;2897;69.8;67.13;1864.91
Konawe Utara;596.69;17;13.93;3951;73.83;68.5;5101.76
Kolaka Timur;910.03;32;15.64;5842;127.55;65.53;3634.74
Konawe Kepulauan;173.24;55;18.1;905;39.69;64.36;867.58
Muna Barat;209.89;109;16.24;1688;90.96;64.11;1022.89
Buton Tengah;282.77;143;18.35;1405;121.29;63.46;958.31
Buton Selatan;98.26;192;15.99;1411;101.19;63.47;509.92
Kota Kendari;159.08;1370;5.01;74179;370.76;82.22;300.89
Kota Baubau;188.23;565;8.39;26345;168.54;74.67;221
